link,id,name,bibliography,artist - link,artist - name - first,artist - name - last,artist - name - middle,artist - active,on_view,category,image_link,acquired_id,acquired_from,painting_type,created_year,created_country,copyright,display,artist - dates,artist - dates - born,artist - dates - died,artist - birthplace - country,artist - birthplace - state,artist - birthplace - town,dimensions - width,dimensions - height,dimensions - depth,dimensions - unit
http://collections.lacma.org/node/231541,231541,Portrait of Rachel Van der Beek,"1. About the Era. LACMA collections online. Retrieved on 12/30/2009 from http://collectionsonline.lacma.org/mweb/aa/abouttheera/early_american_paintings_abouttheera.asp 2. Fort, Ilene Susan and Michael Quick. American Art: a Catalogue of the Los Angeles County Museum of Art Collection. Los Angeles: Museum Associates, 1991.",http://collections.lacma.org/node/164660,John,Jarvis,Wesley,United States,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31767995-WEB.jpg,56.60.4,Gift of Mr. and Mrs. Arnold S. Kirkeby,,circa 1807-1812,United States,,(blank),,1780,1840,England,South Shields,Durham,68.1,86.68,,cms
http://collections.lacma.org/node/231545,231545,Portrait of Isaac Van der Beek,"1. About the Era. LACMA collections online. Retrieved on 12/30/2009 from http://collectionsonline.lacma.org/mweb/aa/abouttheera/early_american_paintings_abouttheera.asp 2. Fort, Ilene Susan and Michael Quick. American Art: a Catalogue of the Los Angeles County Museum of Art Collection. Los Angeles: Museum Associates, 1991.",http://collections.lacma.org/node/164660,John,Jarvis,Wesley,United States,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31767981-WEB.jpg,56.60.3,Gift of Mr. and Mrs. Arnold S. Kirkeby,,circa 1807-1812,United States,,(blank),,1780,1840,England,South Shields,Durham,68.1,86.68,,cms
http://collections.lacma.org/node/231738,231738,The New Television Set,"1. About the Era. 2. Fort, Ilene Susan and Michael Quick. American Art: a Catalogue of the Los Angeles County Museum of Art Collection. Los Angeles: Museum Associates, 1991.",http://collections.lacma.org/node/166754,Norman,Rockwell,,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31977515-WEB.jpg,55.42,Gift of Mrs. Ned Crowell,Oil on canvas,1949,United States,"Rockwell Family Agency, Inc.",(blank),,1894,1978,United States,New York,New York City,109.5,117,,cms
http://collections.lacma.org/node/231783,231783,Piscine,"1. About the Era. 2. Coke, Van Deren; Fink, Sylvia; Ford, Gordon Onslow; Larsen, Susan; Levin, Gail; McCallum, Donald F.; Mullican, Lee; Schipper, Merle and Tom Wolfe. Barron, Stephanie, ed. California: 5 Footnotes to Modern Art History. Los Angeles, CA: Los Angeles County Museum of Art, 1977. 3. Fort, Ilene Susan and Michael Quick. American Art: a Catalogue of the Los Angeles County Museum of Art Collection. Los Angeles: Museum Associates, 1991.",http://collections.lacma.org/node/166763,Morgan,Russell,,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31970782-WEB.jpg,55.88,Gift of Stanton MacDonald-Wright,Oil on canvas,1933,United States,Estate of Morgan Russell,(blank),,1886,1953,United States,New York,New York City,109.86,91.76,,cms
http://collections.lacma.org/node/232581,232581,Autumn Morning on the Potomac,"1. About the Era. 2. Fort, Ilene Susan and Michael Quick. American Art: a Catalogue of the Los Angeles County Museum of Art Collection. Los Angeles: Museum Associates, 1991.",http://collections.lacma.org/node/166780,William,Sonntag,Louis,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-50980538-WEB.jpg,M.58.33,Gift of Mr. and Mrs. Yolande B. Markson,Oil on canvas,circa 1860s,United States,,(blank),,1822,1900,United States,Pennsylvania,East Liberty,142.56,91.44,,cms
http://collections.lacma.org/node/233500,233500,Figures,"1. About the Era. 2. Fort, Ilene Susan and Michael Quick. American Art: a Catalogue of the Los Angeles County Museum of Art Collection. Los Angeles: Museum Associates, 1991. 3. Vure, Sarah. Circles of Influence: Impressionsim to Modernism in Southern California Art, 1910-1930. Newport Beach, CA. 2000.",http://collections.lacma.org/node/164806,Benjamin,Berlin,F.,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31970894-WEB.jpg,61.59.1,Gift of Mr. and Mrs. David Sokol,Oil on canvas,mid-to-late 1920s,United States,,(blank),,1887,1939,United States,District of Columbia,Washington,69.53,81.92,,cms
http://collections.lacma.org/node/234318,234318,A View of a Lake in the Mountains,"1. About the Era. 2. Donahue, Kenneth. Los Angeles County Museum of Art Handbook. Los Angeles: Los Angeles County Museum of Art, 1977. 3. Fort, Ilene Susan and Michael Quick. American Art: a Catalogue of the Los Angeles County Museum of Art Collection. Los Angeles: Museum Associates, 1991.",http://collections.lacma.org/node/165433,George,Bingham,Caleb,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31970928-WEB.jpg,65.18,Los Angeles County Fund,Oil on canvas,circa 1856-1859,United States,,(blank),,1811,1879,United States,Virginia,Augusta County,76.52,53.98,,cms
http://collections.lacma.org/node/235112,235112,Landscape,"1. About the Era. 2. Fort, Ilene Susan and Michael Quick. American Art: a Catalogue of the Los Angeles County Museum of Art Collection. Los Angeles: Museum Associates, 1991.",http://collections.lacma.org/node/167585,Alexander,Wyant,Helwig,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-2799167-WEB.jpg,M.66.66.2,Gift of Joseph T. Mendelson,Oil on canvas,1865,United States,,(blank),,1836,1892,United States,Ohio,Evans Creek,63.5,43.34,,cms
http://collections.lacma.org/node/229518,229518,The Altar Cloth,"1. About the Era. 2. Fort, Ilene Susan and Michael Quick. American Art: a Catalogue of the Los Angeles County Museum of Art Collection. Los Angeles: Museum Associates, 1991.",http://collections.lacma.org/node/164841,Hugh,Breckenridge,Henry,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31970071-WEB.jpg,48.32.11,Mr. and Mrs. William Preston Harrison Collection,Oil on canvas,1916,United States,,(blank),,1870,1937,United States,Virginia,Leesburg,117,127.48,,cms
http://collections.lacma.org/node/227881,227881,Pablo de Sarasate: Portrait of a Violinist,"1. About the Era. 2. Fort, Ilene Susan and Michael Quick. American Art: a Catalogue of the Los Angeles County Museum of Art Collection. Los Angeles: Museum Associates, 1991.",http://collections.lacma.org/node/167625,William,Chase,Merritt,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31969851-WEB.jpg,40.12.9,Mary D. Keeler Bequest,Oil on canvas,circa 1875,United States,,(blank),,1849,1916,United States,Indiana,Williamsburg,47.78,57.15,,cms
http://collections.lacma.org/node/229281,229281,Factories at Lyon,"1. About the Era. 2. Fort, Ilene Susan and Michael Quick. American Art: a Catalogue of the Los Angeles County Museum of Art Collection. Los Angeles: Museum Associates, 1991.",http://collections.lacma.org/node/165557,Hilaire,Hiler,,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-31970011-WEB.jpg,47.21.1,"Gift of Dr. Phillip Rothman and Edward Rothman in memory of their mother, Mrs. Lena M. Rothman",Oil on canvas,1930,United States,Hilaire Hiler,(blank),,1898,1966,United States,Minnesota,Saint Paul,73.18,53.98,,cms
http://collections.lacma.org/node/600323,600323,Watts Towers with Kite,,http://collections.lacma.org/node/600320,Gloria,Stuart,,,Not currently on public view,American,http://collections.lacma.org/sites/default/files/remote_images/piction/ma-35882806-WEB.jpg,M.2011.174.2,Gift of Sylvia Thompson Park,Oil on canvas,,,Estate of Gloria Stuart,Framed,,1910,2010,United States,,,50.8,50.8,5.08,cms
